INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,X15,X16,age_group,shooting_yearmon,shooting_year,year
80-16-085272,ROBBERY,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 22/22C (4,40C,2016-10-05,6600 BLOCK OUTER LOOP,LOUISVILLE,KY,40219,BLACK,M,20,NA,NA,"(10,20]",Oct 2016,2016,2016
80-15-027428,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",NA,PP/PPK/PPKS,22C,2015-04-16,300 BLOCK S 22ND ST,LOUISVILLE,KY,40212,BLACK,M,18,NA,NA,"(10,20]",Apr 2015,2015,2015
80-15-027428,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",NA,PP/PPK/PPKS,22C,2017-01-19,300 BLOCK S 22ND ST,LOUISVILLE,KY,40212,BLACK,M,20,NA,NA,"(10,20]",Jan 2017,2017,2017
80-17-003774,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNAT,MODEL PT111,9MM,2017-01-13,900 BLOCK S 39TH ST,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,Jan 2017,2017,2017
80-17-011680,NARCOTICS,NULL,TAURUS INTERNATIONAL,MODEL PT-24/7,NA,2017-02-10,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Feb 2017,2017,2017
80-14-031450,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,SMITH MANUFACTU,9MM,2014-05-03,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2014,2014,2014
80-14-031450,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,SMITH MANUFACTU,9MM,2014-05-03,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2014,2014,2014
80-14-041370,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40204,NULL,NULL,NULL,NA,NA,NA,NA,NA,2014
80-14-045551,SIMPLE ASSAULT,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,SW40VE,40C,2014-06-21,3300 BLOCK W BROADWAY,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,Jun 2014,2014,2014
80-14-043879,WPNS LAW VIOLATION,NULL,RUGER,SR9,NA,2014-06-16,GRAND AVE / LOUIS COLEMAN JR DR,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,Jun 2014,2014,2014
80-14-067986,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",LLAMA (GABILONDO & CIA),NA,45C,2014-09-07,2600 BLOCK W BROADWAY,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,Sep 2014,2014,2014
80-14-067986,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",LLAMA (GABILONDO & CIA),NA,45C,2014-09-07,2600 BLOCK W BROADWAY,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,Sep 2014,2014,2014
80-14-065309,WPNS LAW VIOLATION,NULL,NA,NA,NA,2014-08-29,500 BLOCK N 44TH ST,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,Aug 2014,2014,2014
80-14-078586,HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40291,NULL,NULL,NULL,NA,NA,NA,NA,NA,2014
80-14-078586,HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40291,NULL,NULL,NULL,NA,NA,NA,NA,NA,2014
80-14-081473,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 17/17C (9,9MM,2014-10-22,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Oct 2014,2014,2014
80-17-010383,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNATIONAL,MODEL PT111,9MM,2017-02-05,SEELBACH AVE / TAYLOR BLVD,LOUISVILLE,KY,40215,BLACK,M,21,NA,NA,"(20,30]",Feb 2017,2017,2017
80-13-062660,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNAT,MODEL PT92,9MM,2013-08-19,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,23,NA,NA,"(20,30]",Aug 2013,2013,2013
80-16-025780,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",NA,NA,40C,2016-03-28,5300 BLOCK NEW CUT RD,LOUISVILLE,KY,40214,BLACK,M,34,NA,NA,"(30,40]",Mar 2016,2016,2016
80-16-026933,ROBBERY,NULL,TAURUS INTERNATIONAL,TAURUS,NA,2016-03-31,4600 BLOCK W BROADWAY,LOUISVILLE,KY,40211,BLACK,M,NULL,NA,NA,NA,Mar 2016,2016,2016
80-16-065127,NARCOTICS,NULL,SMITH & WESSON,PISTOLS: M&P,NA,2016-08-01,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40211,NULL,M,NULL,NA,NA,NA,Aug 2016,2016,2016
80-16-032601,DEATH INVESTIGATION,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40220,NULL,NULL,NULL,NA,NA,NA,NA,NA,2016
80-16-037159,ROBBERY,"PISTOL, SEMI-AUTOMATIC",HIPOINT,HI-POINT,9MM,2016-11-02,1300 BLOCK S 28TH ST,LOUISVILLE,KY,NA,BLACK,M,NULL,NA,NA,NA,Nov 2016,2016,2016
80-13-007996,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",RAVEN ARMS,P-25,25C,2013-02-02,3700 BLOCK WHEELER AVE,LOUISVILLE,KY,40215,WHITE,F,28,NA,NA,"(20,30]",Feb 2013,2013,2013
80-13-007996,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",RAVEN ARMS,P-25,25C,2013-02-02,3700 BLOCK WHEELER AVE,LOUISVILLE,KY,40215,WHITE,F,28,NA,NA,"(20,30]",Feb 2013,2013,2013
80-17-006179,WPNS LAW VIOLATION,"RIFLE, SEMI-AUTOMATIC",O. F. MOSSBERG & SONS,700-799 MODLES,22C,2017-01-21,S 9TH ST / W BROADWAY,LOUISVILLE,KY,40203,WHITE,M,29,NA,NA,"(20,30]",Jan 2017,2017,2017
80-16-047576,SIMPLE ASSAULT,"PISTOL, SEMI-AUTOMATIC",COBRA ENTERPRISES INC,NA,380C,2016-06-04,2000 BLOCK ST LOUIS AVE,LOUISVILLE,KY,40210,WHITE,F,25,NA,NA,"(20,30]",Jun 2016,2016,2016
80-16-108688,INTIMIDATION,"PISTOL, SEMI-AUTOMATIC",NA,CHIAPPA 1911-22,22C,2016-12-21,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,20,NA,NA,"(10,20]",Dec 2016,2016,2016
80-16-055073,ROBBERY,NULL,HIPOINT,CF-380,NA,2016-07-29,600 BLOCK W. JEFFERSON ST,LOUISVILLE,KY,NA,WHITE,M,NULL,NA,NA,NA,Jul 2016,2016,2016
80-17-005970,NARCOTICS,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 23/23C (4,40C,2017-01-20,FERN VALLEY RD W TO I65N,LOUISVILLE,KY,40213,WHITE,M,26,NA,NA,"(20,30]",Jan 2017,2017,2017
80-16-077203,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",DIAMOND ARMS CO.,NA,9MM,2016-09-08,S 3RD ST / SOUTHERN PKY,LOUISVILLE,KY,40214,BLACK,M,29,NA,NA,"(20,30]",Sep 2016,2016,2016
80-16-080226,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",NA,TP9,9MM,2016-09-19,S 11TH ST / ESQUIRE ALY,LOUISVILLE,KY,40203,BLACK,M,19,NA,NA,"(10,20]",Sep 2016,2016,2016
80-11-028207,NARCOTICS,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 21/21C (4,4570,2011-04-16,BARDSTOWN RD / S WATTERSON TRL,LOUISVILLE,KY,40291,WHITE,M,32,NA,NA,"(30,40]",Apr 2011,2011,2011
80-16-097749,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40228,NULL,NULL,NULL,NA,NA,NA,NA,NA,2016
80-14-019221,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC","SPRINGFIELD ARMORY,GENESEO,IL",PISTOL: MODEL X,9MM,2014-03-19,1000 BLOCK ROYAL GARDENS CT,LOUISVILLE,KY,40214,NULL,M,23,NA,NA,"(20,30]",Mar 2014,2014,2014
80-17-000261,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC","SPRINGFIELD ARMORY,GENESEO,IL",PISTOL: MODEL X,40C,2017-01-02,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,18,NA,NA,"(10,20]",Jan 2017,2017,2017
80-17-008918,WPNS LAW VIOLATION,"PISTOL, REVOLVER",SMITH & WESSON,NA,32C,2017-01-31,5300 BLOCK CEDRUS CIR,LOUISVILLE,KY,40213,BLACK,M,43,NA,NA,"(40,50]",Jan 2017,2017,2017
80-17-010698,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNAT,MODEL PT111,9MM,2017-02-06,200 BLOCK S BIRCHWOOD AVE,LOUISVILLE,KY,40206,HISPANIC,M,43,NA,NA,"(40,50]",Feb 2017,2017,2017
80-17-011492,NARCOTICS,"RIFLE, SEMI-AUTOMATIC",NA,MOE RIP,556M,2017-02-09,S 28TH ST / W BROADWAY,LOUISVILLE,KY,40211,WHITE,M,27,NA,NA,"(20,30]",Feb 2017,2017,2017
80-16-111451,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",PHOENIX ARMS CO.,HP MODELS,22C,2016-12-31,DIXIE HWY / WATSON LN,LOUISVILLE,KY,40272,BLACK,M,17,NA,NA,"(10,20]",Dec 2016,2016,2016
80-15-007971,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNAT,MODEL PT745,45C,2015-01-30,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jan 2015,2015,2015
80-15-007971,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNAT,MODEL PT745,45C,2015-01-30,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jan 2015,2015,2015
80-15-010743,WPNS LAW VIOLATION,NULL,NA,NA,NA,2015-02-10,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Feb 2015,2015,2015
80-15-015469,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",NA,LCP,380C,2015-03-02,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Mar 2015,2015,2015
80-15-010902,ROBBERY,"PISTOL, SEMI-AUTOMATIC",HIPOINT,C-9,9MM,2015-02-11,400 BLOCK N 26TH ST,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,Feb 2015,2015,2015
80-15-010902,ROBBERY,"PISTOL, SEMI-AUTOMATIC",HIPOINT,C-9,9MM,2015-02-11,400 BLOCK N 26TH ST,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,Feb 2015,2015,2015
80-11-046579,NARCOTICS,"PISTOL, REVOLVER",SMITH & WESSON,38 SPC,38C,2011-06-16,7000 BLOCK WILDWOOD CIR,LOUISVILLE,KY,40291,WHITE,M,68,NA,NA,"(60,70]",Jun 2011,2011,2011
80-11-046579,NARCOTICS,"PISTOL, REVOLVER",SMITH & WESSON,38 SPC,38C,2011-06-16,7000 BLOCK WILDWOOD CIR,LOUISVILLE,KY,40291,WHITE,M,68,NA,NA,"(60,70]",Jun 2011,2011,2011
80-13-037225,THEFT OTHER,"PISTOL, SEMI-AUTOMATIC","SPRINGFIELD ARMORY,GENESEO,IL",PISTOL: MODEL X,40C,2013-11-24,S 7TH ST / W HILL ST,LOUISVILLE,KY,40208,BLACK,M,20,NA,NA,"(10,20]",Nov 2013,2013,2013
80-10-014876,FRAUD IMPERSONATION,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 23/23C (4,40C,2010-03-02,5000 BLOCK PRESTON HWY,LYNNVIEW,KY,40213,WHITE,M,25,NA,NA,"(20,30]",Mar 2010,2010,2010
80-10-097841,AGGRAVATED ASSAULT,"RIFLE, BOLT ACTION",SAVAGE ARMS INC,RIFLE: MODEL 11,270C,2010-12-10,11700 BLOCK OLD MITCHELL HILL RD,LOUISVILLE,KY,40118,WHITE,M,40,NA,NA,"(30,40]",Dec 2010,2010,2010
80-11-094999,NARCOTICS,"PISTOL, DERRINGER",OLD SAYBROOK,TRADITIONS,58C,2011-11-22,5400 BLOCK NEW CUT RD,LOUISVILLE,KY,40214,HISPANIC,M,40,NA,NA,"(30,40]",Nov 2011,2011,2011
80-16-072288,VANDALISM,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,NA,40C,2016-08-24,8600 BLOCK PRESTON HWY,LOUISVILLE,KY,40219,WHITE,M,51,NA,NA,"(50,60]",Aug 2016,2016,2016
80-13-042921,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",HIPOINT,JH-45,45C,2013-06-11,S CLAY ST / LAMPTON ST,LOUISVILLE,KY,40203,BLACK,M,21,NA,NA,"(20,30]",Jun 2013,2013,2013
80-16-102285,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC","FNH USA, LLC",NA,57,2016-11-30,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,42,NA,NA,"(40,50]",Nov 2016,2016,2016
80-12-034969,WPNS LAW VIOLATION,NULL,SIG-SAUER,PISTOL: 226 SER,NA,2012-05-04,2900 BLOCK W KENTUCKY ST,LOUISVILLE,KY,40211,BLACK,M,25,NA,NA,"(20,30]",May 2012,2012,2012
80-12-034969,WPNS LAW VIOLATION,NULL,SIG-SAUER,PISTOL: 226 SER,NA,2012-05-04,2900 BLOCK W KENTUCKY ST,LOUISVILLE,KY,40211,BLACK,M,25,NA,NA,"(20,30]",May 2012,2012,2012
80-12-034969,WPNS LAW VIOLATION,NULL,SIG-SAUER,PISTOL: 226 SER,NA,2012-05-04,2900 BLOCK W KENTUCKY ST,LOUISVILLE,KY,40211,BLACK,M,25,NA,NA,"(20,30]",May 2012,2012,2012
80-10-000204,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",NA,NA,9MM,2010-01-02,S 26TH ST / GARLAND AVE,LOUISVILLE,KY,40211,BLACK,M,22,NA,NA,"(20,30]",Jan 2010,2010,2010
80-16-073413,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",0.4,40C,2016-08-29,600 BLOCK VILLAGE WEST DR,LOUISVILLE,KY,40203,BLACK,M,19,NA,NA,"(10,20]",Aug 2016,2016,2016
80-14-057958,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",COBRA ENTERPRISES INC,FS380,380C,2014-08-03,S 26TH ST / ELLIOTT AVE,LOUISVILLE,KY,40211,BLACK,M,26,NA,NA,"(20,30]",Aug 2014,2014,2014
80-11-005586,BURGLARY,"PISTOL, REVOLVER",SMITH & WESSON,65-I,357C,2011-01-24,3700 BLOCK CHAMBERLAIN CT,LOUISVILLE,KY,40241,BLACK,M,15,NA,NA,"(10,20]",Jan 2011,2011,2011
80-10-016863,WPNS LAW VIOLATION,"PISTOL, DERRINGER",RUGER,HANDGUNS: P SER,9MM,2010-03-10,500 BLOCK N 44TH ST,LOUISVILLE,KY,40212,BLACK,M,30,NA,NA,"(20,30]",Mar 2010,2010,2010
80-13-009265,NARCOTICS,"PISTOL, REVOLVER",NA,NA,22C,2013-02-07,800 BLOCK E ST CATHERINE ST,LOUISVILLE,KY,40203,WHITE,M,36,NA,NA,"(30,40]",Feb 2013,2013,2013
80-10-004293,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",SIG-SAUER,NA,9MM,2010-01-18,500 BLOCK WASHBURN AVE,LYNDON,KY,40222,WHITE,M,23,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-003061,ROBBERY,"PISTOL, SEMI-AUTOMATIC",NA,NA,45C,2010-01-13,500 BLOCK WASHBURN AVE,LYNDON,KY,40222,WHITE,M,23,NA,NA,"(20,30]",Jan 2010,2010,2010
80-10-003061,ROBBERY,"PISTOL, SEMI-AUTOMATIC",NA,NA,45C,2010-01-13,500 BLOCK WASHBURN AVE,LYNDON,KY,40222,WHITE,M,23,NA,NA,"(20,30]",Jan 2010,2010,2010
80-15-023278,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,PK380,380C,2015-04-01,8300 BLOCK EMRICH CT,LOUISVILLE,KY,40291,NULL,NULL,NULL,NA,NA,NA,Apr 2015,2015,2015
80-15-023278,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,PK380,380C,2015-04-01,8300 BLOCK EMRICH CT,LOUISVILLE,KY,40291,NULL,NULL,NULL,NA,NA,NA,Apr 2015,2015,2015
80-15-023278,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,PK380,380C,2015-04-01,8300 BLOCK EMRICH CT,LOUISVILLE,KY,40291,NULL,NULL,NULL,NA,NA,NA,Apr 2015,2015,2015
80-15-023278,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,PK380,380C,2015-04-01,8300 BLOCK EMRICH CT,LOUISVILLE,KY,40291,NULL,NULL,NULL,NA,NA,NA,Apr 2015,2015,2015
80-15-023278,NARCOTICS,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,PK380,380C,2015-04-01,8300 BLOCK EMRICH CT,LOUISVILLE,KY,40291,NULL,NULL,NULL,NA,NA,NA,Apr 2015,2015,2015
80-15-021881,WPNS LAW VIOLATION,"PISTOL, REVOLVER",UNKNOWN MANUFACTURER,UNKNOWN,NA,2015-03-26,2600 BLOCK CEDAR ST,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,Mar 2015,2015,2015
80-15-022943,WPNS LAW VIOLATION,"PISTOL, REVOLVER",SMITH & WESSON,SPRINGFIELD FIR,357C,2015-03-31,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Mar 2015,2015,2015
80-15-029535,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNAT,MODEL PT101,40C,2015-04-23,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Apr 2015,2015,2015
80-15-030343,AGGRAVATED ASSAULT,NULL,BERETTA (P. OR PIETRO),8000D,NA,2015-04-28,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Apr 2015,2015,2015
80-15-032330,HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,NA,NA,2015
80-15-033117,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40258,NULL,NULL,NULL,NA,NA,NA,NA,NA,2015
80-15-035713,NARCOTICS,NULL,COBRA ENTERPRISES INC,PATROIT,NA,2015-05-13,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2015,2015,2015
80-15-035713,NARCOTICS,NULL,COBRA ENTERPRISES INC,PATROIT,NA,2015-05-13,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2015,2015,2015
80-15-036654,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",PHOENIX ARMS CO,HP22A,22C,2015-05-15,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2015,2015,2015
80-15-036951,NARCOTICS,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 21/21C (4,45C,2015-05-16,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2015,2015,2015
80-15-036951,NARCOTICS,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 21/21C (4,45C,2015-05-16,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2015,2015,2015
80-15-035713,NARCOTICS,NULL,COBRA ENTERPRISES INC,PATROIT,NA,2015-05-13,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2015,2015,2015
80-15-035974,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40229,NULL,NULL,NULL,NA,NA,NA,NA,NA,2015
80-15-042280,NARCOTICS,NULL,"REXIO, S.R.L.",RJ-38,NA,2015-06-05,5200 BLOCK YEW LN,LOUISVILLE,KY,40213,NULL,NULL,NULL,NA,NA,NA,Jun 2015,2015,2015
80-15-048314,WPNS LAW VIOLATION,NULL,NA,NA,NA,2015-06-23,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jun 2015,2015,2015
80-15-049256,WPNS LAW VIOLATION,NULL,NA,NA,NA,2015-06-26,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jun 2015,2015,2015
80-15-042653,BURGLARY,"PISTOL, SEMI-AUTOMATIC","KELTEC, CNC INDUSTRIES, INC",PF-9,9MM,2015-06-20,1500 BLOCK FRANKFORT AVE,LOUISVILLE,KY,40206,NULL,NULL,NULL,NA,NA,NA,Jun 2015,2015,2015
80-15-048018,WPNS LAW VIOLATION,NULL,"KELTEC, CNC INDUSTRIES, INC",NA,NA,2015-06-22,CLAY & MADISON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jun 2015,2015,2015
80-15-050979,WPNS LAW VIOLATION,NULL,ROHM,NA,NA,2015-07-03,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jul 2015,2015,2015
80-15-048018,WPNS LAW VIOLATION,NULL,"KELTEC, CNC INDUSTRIES, INC",NA,NA,2015-06-22,CLAY & MADISON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jun 2015,2015,2015
80-15-051165,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",LLAMA (GABILOND,UNKNOWN,NA,2015-07-03,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jul 2015,2015,2015
80-15-051274,WPNS LAW VIOLATION,NULL,"KELTEC, CNC INDUSTRIES, INC",P-11,NA,2015-07-04,S 22ND ST / ST LOUIS AVE,LOUISVILLE,KY,40210,NULL,NULL,NULL,NA,NA,NA,Jul 2015,2015,2015
80-15-060952,NARCOTICS,NULL,SMITH & WESSON,22A-1,NA,2015-08-09,8100 BLOCK ACME WAY,LOUISVILLE,KY,40219,NULL,NULL,NULL,NA,NA,NA,Aug 2015,2015,2015
80-15-060952,NARCOTICS,NULL,SMITH & WESSON,22A-1,NA,2015-08-09,8100 BLOCK ACME WAY,LOUISVILLE,KY,40219,NULL,NULL,NULL,NA,NA,NA,Aug 2015,2015,2015
80-15-079490,THEFT OTHER,"PISTOL, SEMI-AUTOMATIC",RUGER,NA,40C,2016-05-06,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2016,2016,2016
80-15-083800,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 27 (40 SW,40C,2015-10-17,6600 BLOCK STANA DR,LOUISVILLE,KY,40258,NULL,NULL,NULL,NA,NA,NA,Oct 2015,2015,2015
80-15-083800,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 27 (40 SW,40C,2015-10-17,6600 BLOCK STANA DR,LOUISVILLE,KY,40258,NULL,NULL,NULL,NA,NA,NA,Oct 2015,2015,2015
80-15-091746,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40214,NULL,NULL,NULL,NA,NA,NA,NA,NA,2015
80-10-004757,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,NA,NA,2010
80-10-009120,DEATH INVESTIGATION,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40204,NULL,NULL,NULL,NA,NA,NA,NA,NA,2010
80-10-015324,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,MIDDLETOWN,KY,40223,NULL,NULL,NULL,NA,NA,NA,NA,NA,2010
80-10-032350,ROBBERY,"PISTOL, SEMI-AUTOMATIC",REMINGTON ARMS,HANDGUN: MODLE,4570,2010-05-03,900 BLOCK S 3RD ST,LOUISVILLE,KY,40203,NULL,NULL,NULL,NA,NA,NA,May 2010,2010,2010
80-10-070309,JUSTIFIABLE HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,NA,NA,2010
80-10-072057,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",NA,AT 9 SS (9MM) S,9MM,2010-09-14,0 BLOCK WILSON ST,LOUISVILLE,KY,40210,NULL,NULL,NULL,NA,NA,NA,Sep 2010,2010,2010
80-10-072057,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",NA,AT 9 SS (9MM) S,9MM,2010-09-14,0 BLOCK WILSON ST,LOUISVILLE,KY,40210,NULL,NULL,NULL,NA,NA,NA,Sep 2010,2010,2010
80-10-037551,BURGLARY,"RIFLE, BOLT ACTION",NA,MAGNUM MODELS,NA,2010-05-20,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2010,2010,2010
80-10-037580,ROBBERY,"PISTOL, SEMI-AUTOMATIC",NA,NA,380C,2010-05-20,2600 BLOCK W MARKET ST,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,May 2010,2010,2010
80-10-037580,ROBBERY,"PISTOL, SEMI-AUTOMATIC",NA,NA,380C,2010-05-20,2600 BLOCK W MARKET ST,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,May 2010,2010,2010
80-10-037580,ROBBERY,"PISTOL, SEMI-AUTOMATIC",NA,NA,380C,2010-05-20,2600 BLOCK W MARKET ST,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,May 2010,2010,2010
80-10-050884,BURGLARY,"PISTOL, SEMI-AUTOMATIC",RUGER,NA,22C,2010-11-14,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Nov 2010,2010,2010
